ticker,fiscal_period,period_end_date,accession_no,segment,metric_name,metric_value,metric_unit,source_label
LEN,Q3 2024,2024-09-19,0001628280-24-040938,consolidated,net_orders_units,20587.0,units,https://www.sec.gov/Archives/edgar/data/920760/000162828024040938/ex991-2024831x8kq3.htm
LEN,Q3 2024,2024-09-19,0001628280-24-040938,consolidated,backlog_units,16944.0,units,https://www.sec.gov/Archives/edgar/data/920760/000162828024040938/ex991-2024831x8kq3.htm
LEN,Q3 2024,2024-09-19,0001628280-24-040938,consolidated,community_count,1283.0,count,https://www.sec.gov/Archives/edgar/data/920760/000162828024040938/ex991-2024831x8kq3.htm
LEN,Q3 2024,2024-09-19,0001628280-24-040938,consolidated,closings_units,21516.0,units,https://www.sec.gov/Archives/edgar/data/920760/000162828024040938/ex991-2024831x8kq3.htm
LEN,Q3 2024,2024-09-19,0001628280-24-040938,consolidated,asp_dollars,422000.0,usd,https://www.sec.gov/Archives/edgar/data/920760/000162828024040938/ex991-2024831x8kq3.htm
LEN,Q3 2024,2024-09-19,0001628280-24-040938,consolidated,gross_margin_pct,22.5,pct,https://www.sec.gov/Archives/edgar/data/920760/000162828024040938/ex991-2024831x8kq3.htm
LEN,Q2 2024,2024-06-17,0001628280-24-028512,consolidated,net_orders_units,21293.0,units,https://www.sec.gov/Archives/edgar/data/920760/000162828024028512/ex991-2024531x8kq2.htm
LEN,Q2 2024,2024-06-17,0001628280-24-028512,consolidated,backlog_units,17873.0,units,https://www.sec.gov/Archives/edgar/data/920760/000162828024028512/ex991-2024531x8kq2.htm
LEN,Q2 2024,2024-06-17,0001628280-24-028512,consolidated,community_count,1245.0,count,https://www.sec.gov/Archives/edgar/data/920760/000162828024028512/ex991-2024531x8kq2.htm
LEN,Q2 2024,2024-06-17,0001628280-24-028512,consolidated,closings_units,19690.0,units,https://www.sec.gov/Archives/edgar/data/920760/000162828024028512/ex991-2024531x8kq2.htm
LEN,Q2 2024,2024-06-17,0001628280-24-028512,consolidated,asp_dollars,426000.0,usd,https://www.sec.gov/Archives/edgar/data/920760/000162828024028512/ex991-2024531x8kq2.htm
